"YEAR","Topic","Subtopic","ShortQuestionText","Greater_Risk_Question","Description","Greater_Risk_Data_Value","Greater_Risk_Low_Confidence_Limit","Greater_Risk_High_Confidence_Limit","Lesser_Risk_Question","Lesser_Risk_Data_Value","Lesser_Risk_Low_Confidence_Limit","Lesser_Risk_High_Confidence_Limit","Sample_Size","Sex","Race","Grade","GeoLocation","TopicId","SubTopicID","QuestionCode","LocationId","StratificationType","State"
2007,"Alcohol and Other Drug Use","Alcohol Use","Ever alcohol use","Ever drank alcohol","at least one drink of alcohol on at least 1 day during their life",73.2,69.93,76.2,"Never drank alcohol",26.8,23.8,30.07,805,"Male","White","Total","(43.23554134300048, -108.10983035299967)","AOD01","ALC01","H41","56","State","Wyoming"
2007,"Unintentional Injuries and Violence","Suicide-Related Behaviors","Suicide plan","Made a plan about how they would attempt suicide","during the 12 months before the survey",7.4,4.17,12.94,"Did not make a plan about how they would attempt suicide",92.6,87.06,95.83,202,"Male","White","12th","(40.06021014100048, -82.40426005599966)","UIV01","SRB01","H28","39","State","Ohio"
2005,"Alcohol and Other Drug Use","Other Drug Use","Ever steroid use","Ever took steroids without a doctor's prescription","pills or shots, one or more times during their life",5.3,3.14,8.7,"Never took steroids without a doctor's prescription",94.7,91.3,96.86,124,"Male","White","11th","(35.68094058000048, -85.77449091399967)","AOD01","ODU01","H56","47","State","Tennessee"
2007,"Physical Activity","Physical Activity","PE attendance","Did not attend physical education classes on 1 or more days","in an average week when they were in school",48.5,38.78,58.33,"Attended physical education classes on 1 or more days",51.5,41.67,61.22,146,"Female","White","10th","(43.682630005000476, -114.3637300419997)","PHA01","PAC01","H83","16","State","Idaho"
1997,"Alcohol and Other Drug Use","Alcohol Use","Initiation of alcohol use","Drank alcohol before age 13 years","for the first time other than a few sips",21.7,17.23,26.95,"Did not drink alcohol before age 13 years",78.3,73.05,82.77,233,"Female","Total","10th","(42.46940091300047, -93.81649055599968)","AOD01","ALC01","H42","19","State","Iowa"
2011,"Dietary Behaviors","Soda or pop","Soda drinking >= 2 times","Drank a can, bottle, or glass of soda or pop two or more times per day","not counting diet soda or diet pop, during the 7 days before the survey",26.7,18.62,36.81,"N/A",73.3,63.19,81.38,146,"Male","White","10th","(42.46940091300047, -93.81649055599968)","DBH01","POP01","QNSODA2","19","State","Iowa"
2015,"Physical Activity","Physical Activity","Television watching","Watched 3 or more hours per day of television","on an average school day",29.3,18.42,43.17,"Did not watch 3 or more hours per day of television",70.7,56.83,81.58,114,"Male","Total","12th","(35.47203135600046, -97.52107021399968)","PHA01","PAC01","H81","40","State","Oklahoma"
2007,"Dietary Behaviors","Soda or pop","Soda drinking >= 2 times","Drank a can, bottle, or glass of soda or pop two or more times per day","not counting diet soda or diet pop, during the 7 days before the survey",21,14.62,29.13,"N/A",79,70.87,85.38,217,"Female","White","9th","(32.83968109300048, -83.62758034599966)","DBH01","POP01","QNSODA2","13","State","Georgia"
2013,"Obesity, Overweight, and Weight Control","Weight Control","Perception of weight","Described themselves as slightly or very overweight",,35.3,31.35,39.53,"N/A",64.7,60.47,68.65,489,"Female","White","9th","(47.06652897200047, -109.42442064499971)","OOW01","WTC01","H69","30","State","Montana"
2005,"Dietary Behaviors","Fruit and fruit juices","No fruit consumption","Did not eat fruit or drink 100% fruit juices","during the 7 days before the survey",6.1,3.13,11.53,"Ate fruit or drank 100% fruit juices",93.9,88.47,96.87,128,"Total","Total","12th","(39.29058096400047, -76.60926011099963)","DBH01","FFJ01","QNFR0","24","State","Maryland"
2013,"Tobacco Use","Cigarette Use","Current daily cigarette use","Currently smoked cigarettes daily","on all 30 days during the 30 days before the survey",6.6,4.87,8.95,"Did not currently smoke cigarettes daily",93.4,91.05,95.13,1462,"Total","White","Total","(38.66551020200046, -80.71264013499967)","TUS01","CIG01","QNDAYCIG","54","State","West Virginia"
2013,"Tobacco Use","Other Tobacco Use","Current smokeless tobacco use","Currently used smokeless tobacco","chewing tobacco, snuff, or dip on at least 1 day during the 30 days before the survey",4,2.15,7.2,"Did not currently use smokeless tobacco",96,92.8,97.85,483,"Total","Black or African American","Total","(33.998821303000454, -81.04537120699968)","TUS01","OTU01","H37","45","State","South Carolina"
2005,"Unintentional Injuries and Violence","Suicide-Related Behaviors","Attempted suicide","Attempted suicide","one or more times during the 12 months before the survey",11.6,9.01,14.82,"Did not attempt suicide",88.4,85.18,90.99,604,"Female","White","Total","(44.353130053000484, -100.3735306369997)","UIV01","SRB01","H29","46","State","South Dakota"
2005,"Sexual Behaviors","Sexual Behaviors","Condom use","Did not use a condom","during last sexual intercourse, among students who were currently sexually active",38.3,32.74,44.14,"Used a condom",61.7,55.86,67.26,381,"Female","Total","Total","(44.39319117400049, -89.81637074199966)","SBH01","SXB01","H65","55","State","Wisconsin"
2013,"Alcohol and Other Drug Use","Other Drug Use","Ever methamphetamine use","Ever used methamphetamines","also called ""speed,"" ""crystal,"" ""crank,"" or ""ice,"" one or more times during their life",6.6,2.8,14.87,"Never used methamphetamines",93.4,85.13,97.2,219,"Total","Hispanic or Latino","9th","(40.48501028300046, -88.99771017799969)","AOD01","ODU01","H53","17","State","Illinois"
2011,"Physical Activity","Physical Activity","Daily physical activity","Were not physically active at least 60 minutes per day on all 7 days","doing any kind of physical activity that increased their heart rate and made them breathe hard some of the time during the 7 days before the survey",65.9,55.66,74.92,"Were physically active at least 60 minutes per day on all 7 days",34.1,25.08,44.34,139,"Male","American Indian or Alaska Native","Total","(47.06652897200047, -109.42442064499971)","PHA01","PAC01","QNPA7DAY","30","State","Montana"
1995,"Physical Activity","Physical Activity","Daily PE attendance","Did not attend physical education classes on all 5 days","in an average week when they were in school",80,71.96,86.25,"Attended physical education classes on all 5 days",20,13.75,28.04,309,"Female","White","12th","(32.84057112200048, -86.63186076199969)","PHA01","PAC01","QNDLYPE","01","State","Alabama"
1993,"Unintentional Injuries and Violence","Suicide-Related Behaviors","Suicide plan","Made a plan about how they would attempt suicide","during the 12 months before the survey",19,16.08,22.34,"Did not make a plan about how they would attempt suicide",81,77.66,83.92,955,"Total","Total","11th","(33.998821303000454, -81.04537120699968)","UIV01","SRB01","H28","45","State","South Carolina"
2001,"Unintentional Injuries and Violence","Behaviors that Contribute to Violence","Threatened at school","Were threatened or injured with a weapon on school property","such as, a gun, knife, or club, one or more times during the 12 months before the survey",13.3,7.33,23.04,"Were not threatened or injured with a weapon on school property",86.7,76.96,92.67,119,"Total","Multiple Race","Total","(31.827240407000488, -99.42677020599967)","UIV01","VIO01","H17","48","State","Texas"
2013,"Tobacco Use","Other Tobacco Use","Current smokeless tobacco use","Currently used smokeless tobacco","chewing tobacco, snuff, or dip on at least 1 day during the 30 days before the survey",20.9,15.97,26.79,"Did not currently use smokeless tobacco",79.1,73.21,84.03,320,"Male","American Indian or Alaska Native","Total","(39.29058096400047, -76.60926011099963)","TUS01","OTU01","H37","24","State","Maryland"
2003,"Tobacco Use","Cigarette Use","Frequent cigarette use","Currently smoked cigarettes frequently","on 20 or more days during the 30 days before the survey",8.1,5.14,12.42,"Did not currently smoke cigarettes frequently",91.9,87.58,94.86,509,"Total","Total","9th","(35.47203135600046, -97.52107021399968)","TUS01","CIG01","QNFRCIG","40","State","Oklahoma"
2007,"Dietary Behaviors","Fruit and fruit juices","Fruit consumption >= 2 times","N/A","during the 7 days before the survey",71.3,66.99,75.25,"Ate fruit or drank 100% fruit juices two or more times per day",28.7,24.75,33.01,639,"Total","White","Total","(39.29058096400047, -76.60926011099963)","DBH01","FFJ01","QNFR2","24","State","Maryland"
2013,"Sexual Behaviors","Sexual Behaviors","Ever sexual intercourse","Ever had sexual intercourse",,21.7,15.79,29,"Never had sexual intercourse",78.3,71,84.21,252,"Female","Total","9th","(41.56266102000046, -72.64984095199964)","SBH01","SXB01","H60","09","State","Connecticut"
2015,"Alcohol and Other Drug Use","Other Drug Use","Ever heroin use","Ever used heroin","also called ""smack,"" ""junk,"" or ""China white,"" one or more times during their life",2.3,0.68,7.49,"Never used heroin",97.7,92.51,99.32,203,"Male","Total","9th","(39.493240390000494, -117.07184056399967)","AOD01","ODU01","H52","32","State","Nevada"
2011,"Alcohol and Other Drug Use","Other Drug Use","Initiation of marijuana use","Tried marijuana before age 13 years","for the first time",8.4,5.46,12.78,"Did not try marijuana before age 13 years",91.6,87.22,94.54,355,"Total","White","10th","(37.645970271000465, -84.77497104799966)","AOD01","ODU01","H48","21","State","Kentucky"
2013,"Alcohol and Other Drug Use","Alcohol Use","Current alcohol use","Currently drank alcohol","at least one drink of alcohol on at least 1 day during the 30 days before the survey",33.6,28.11,39.5,"Did not currently drink alcohol",66.4,60.5,71.89,138,"Total","White","9th","(31.31266064400046, -92.44568007099969)","AOD01","ALC01","H43","22","State","Louisiana"
2015,"Dietary Behaviors","Soda or pop","Soda drinking >= 2 times","Drank a can, bottle, or glass of soda or pop two or more times per day","not counting diet soda or diet pop, during the 7 days before the survey",13.8,6.77,26.13,"N/A",86.2,73.87,93.23,124,"Total","Hispanic or Latino","10th","(40.79373015200048, -77.86070029399963)","DBH01","POP01","QNSODA2","42","State","Pennsylvania"
1995,"Obesity, Overweight, and Weight Control","Weight Control","Perception of weight","Described themselves as slightly or very overweight",,39.8,33.05,46.88,"N/A",60.2,53.12,66.95,301,"Female","White","9th","(43.65595011300047, -71.50036091999965)","OOW01","WTC01","H69","33","State","New Hampshire"
2005,"Unintentional Injuries and Violence","Suicide-Related Behaviors","Suicide consideration","Seriously considered attempting suicide","during the 12 months before the survey",12.6,10.54,14.97,"Did not seriously consider attempting suicide",87.4,85.03,89.46,1367,"Male","White","Total","(37.645970271000465, -84.77497104799966)","UIV01","SRB01","H27","21","State","Kentucky"
1999,"Unintentional Injuries and Violence","Behaviors that Contribute to Violence","Gun carrying","Carried a gun","on at least 1 day during the 30 days before the survey",1.2,0.43,3.13,"Did not carry a gun",98.8,96.87,99.57,338,"Female","Black or African American","9th","(33.998821303000454, -81.04537120699968)","UIV01","VIO01","H14","45","State","South Carolina"
2015,"Unintentional Injuries and Violence","Behaviors that Contribute to Violence","Physical fighting at school","Were in a physical fight on school property","one or more times during the 12 months before the survey",22.7,17.93,28.29,"Were not in a physical fight on school property",77.3,71.71,82.07,430,"Total","Native Hawaiian or Other Pacific Islander","Total","(39.29058096400047, -76.60926011099963)","UIV01","VIO01","H20","24","State","Maryland"
1997,"Alcohol and Other Drug Use","Other Drug Use","Ever steroid use","Ever took steroids without a doctor's prescription","pills or shots, one or more times during their life",1.4,0.43,4.33,"Never took steroids without a doctor's prescription",98.6,95.67,99.57,304,"Female","Black or African American","11th","(33.998821303000454, -81.04537120699968)","AOD01","ODU01","H56","45","State","South Carolina"
2015,"Dietary Behaviors","Vegetables","Vegetable eating >=2 times","N/A","green salad, potatoes (excluding French fries, fried potatoes, or potato chips), carrots, or other vegetables, during the 7 days before the survey",82.7,76.81,87.33,"Ate vegetables two or more times per day",17.3,12.67,23.19,1285,"Total","Black or African American","Total","(44.6613195430005, -84.71439026999968)","DBH01","VEG01","QNVEG2","26","State","Michigan"
2007,"Tobacco Use","Cigarette Use","Current daily cigarette use","Currently smoked cigarettes daily","on all 30 days during the 30 days before the survey",4.3,1.81,9.95,"Did not currently smoke cigarettes daily",95.7,90.05,98.19,173,"Male","White","9th","(35.47203135600046, -97.52107021399968)","TUS01","CIG01","QNDAYCIG","40","State","Oklahoma"
2009,"Physical Activity","Physical Activity","Television watching","Watched 3 or more hours per day of television","on an average school day",29.1,21.61,37.9,"Did not watch 3 or more hours per day of television",70.9,62.1,78.39,152,"Male","Hispanic or Latino","12th","(31.827240407000488, -99.42677020599967)","PHA01","PAC01","H81","48","State","Texas"
2011,"Unintentional Injuries and Violence","Behaviors that Contribute to Violence","Injurious physical fighting","Were injured in a physical fight","one or more times during the 12 months before the survey and injuries had to be treated by a doctor or nurse",5.3,2.26,11.82,"Were not injured in a physical fight",94.7,88.18,97.74,135,"Total","Black or African American","9th","(32.83968109300048, -83.62758034599966)","UIV01","VIO01","H19","13","State","Georgia"
2015,"Dietary Behaviors","Fruit and fruit juices","Fruit consumption >= 2 times","N/A","during the 7 days before the survey",64.9,58.42,70.81,"Ate fruit or drank 100% fruit juices two or more times per day",35.1,29.19,41.58,300,"Male","Total","9th","(35.47203135600046, -97.52107021399968)","DBH01","FFJ01","QNFR2","40","State","Oklahoma"
2013,"Dietary Behaviors","Breakfast","Daily breakfast eating","Did not eat breakfast on all 7 days","during the 7 days before the survey",60.7,58.45,62.94,"Ate breakfast on all 7 days",39.3,37.06,41.55,2909,"Female","White","12th","(39.29058096400047, -76.60926011099963)","DBH01","BRK01","QNBK7DAY","24","State","Maryland"
2007,"Alcohol and Other Drug Use","Other Drug Use","Ever steroid use","Ever took steroids without a doctor's prescription","pills or shots, one or more times during their life",3.3,1.03,10.07,"Never took steroids without a doctor's prescription",96.7,89.93,98.97,102,"Male","Asian","9th","(42.82700103200045, -75.54397042699964)","AOD01","ODU01","H56","36","State","New York"
2007,"Dietary Behaviors","Vegetables","No vegetable eating","Did not eat vegetables","green salad, potatoes (excluding French fries, fried potatoes, or potato chips), carrots, or other vegetables, during the 7 days before the survey",7.1,4.11,12.16,"Ate vegetables",92.9,87.84,95.89,204,"Male","Hispanic or Latino","Total","(41.70828019300046, -71.52247031399963)","DBH01","VEG01","QNVEG0","44","State","Rhode Island"
2015,"Unintentional Injuries and Violence","Suicide-Related Behaviors","Suicide plan","Made a plan about how they would attempt suicide","during the 12 months before the survey",13.1,8.3,20.11,"Did not make a plan about how they would attempt suicide",86.9,79.89,91.7,120,"Total","Multiple Race","Total","(40.48501028300046, -88.99771017799969)","UIV01","SRB01","H28","17","State","Illinois"
2007,"Tobacco Use","Cigarette Use","Current daily cigarette use","Currently smoked cigarettes daily","on all 30 days during the 30 days before the survey",9.7,6.41,14.48,"Did not currently smoke cigarettes daily",90.3,85.52,93.59,293,"Female","Total","11th","(43.23554134300048, -108.10983035299967)","TUS01","CIG01","QNDAYCIG","56","State","Wyoming"
2005,"Alcohol and Other Drug Use","Alcohol Use","Initiation of alcohol use","Drank alcohol before age 13 years","for the first time other than a few sips",26.4,13.6,44.97,"Did not drink alcohol before age 13 years",73.6,55.03,86.4,274,"Total","Total","12th","(32.83968109300048, -83.62758034599966)","AOD01","ALC01","H42","13","State","Georgia"
2009,"Alcohol and Other Drug Use","Alcohol Use","Initiation of alcohol use","Drank alcohol before age 13 years","for the first time other than a few sips",14.6,10.07,20.65,"Did not drink alcohol before age 13 years",85.4,79.35,89.93,229,"Male","Total","11th","(41.56266102000046, -72.64984095199964)","AOD01","ALC01","H42","09","State","Connecticut"
2015,"Unintentional Injuries and Violence","Suicide-Related Behaviors","Attempted suicide","Attempted suicide","one or more times during the 12 months before the survey",10.5,5.61,18.74,"Did not attempt suicide",89.5,81.26,94.39,119,"Female","Total","11th","(33.998821303000454, -81.04537120699968)","UIV01","SRB01","H29","45","State","South Carolina"
2015,"Dietary Behaviors","Milk","Milk drinking >= 1 glass","N/A","during the 7 days before the survey",80.4,75.07,84.82,"Drank one or more glasses per day of milk",19.6,15.18,24.93,702,"Female","Total","11th","(21.304850435000446, -157.85774940299973)","DBH01","MLK01","QNMILK1","15","State","Hawaii"
2015,"Tobacco Use","Cigarette Use","Initiation of cigarette use","Smoked a whole cigarette before age 13 years","for the first time",7.2,6.04,8.61,"Did not smoke a whole cigarette before age 13 years",92.8,91.39,93.96,2060,"Total","Total","Total","(47.47531977900047, -100.11842104899966)","TUS01","CIG01","H32","38","State","North Dakota"
2011,"Tobacco Use","Cigarette Use","Frequent cigarette use","Currently smoked cigarettes frequently","on 20 or more days during the 30 days before the survey",5.2,1.59,15.9,"Did not currently smoke cigarettes frequently",94.8,84.1,98.41,149,"Total","Asian","Total","(41.70828019300046, -71.52247031399963)","TUS01","CIG01","QNFRCIG","44","State","Rhode Island"
2015,"Unintentional Injuries and Violence","Behaviors that Contribute to Unintentional Injuries","Seat belt use","Never or rarely wore a seat belt","when riding in a car driven by someone else",5.2,3.24,8.33,"Sometimes, most of the time, or always wore a seat belt",94.8,91.67,96.76,412,"Total","White","9th","(40.48501028300046, -88.99771017799969)","UIV01","UIN01","H9","17","State","Illinois"
2001,"Sexual Behaviors","Sexual Behaviors","Multiple sex partners","Had sexual intercourse with four or more persons","during their life",12.2,7.63,19.03,"Did not have sexual intercourse with four or more persons",87.8,80.97,92.37,726,"Male","White","11th","(43.62538123900049, -72.51764079099962)","SBH01","SXB01","H62","50","State","Vermont"
2011,"Alcohol and Other Drug Use","Other Drug Use","Ever methamphetamine use","Ever used methamphetamines","also called ""speed,"" ""crystal,"" ""crank,"" or ""ice,"" one or more times during their life",4,1.94,8.14,"Never used methamphetamines",96,91.86,98.06,346,"Total","Total","10th","(39.360700171000474, -111.58713063499971)","AOD01","ODU01","H53","49","State","Utah"
2007,"Dietary Behaviors","Fruit and fruit juices","Fruit consumption >= 3 times","N/A","during the 7 days before the survey",72.2,51.86,86.18,"Ate fruit or drank 100% fruit juices three or more times per day",27.8,13.82,48.14,132,"Male","Asian","10th","(42.82700103200045, -75.54397042699964)","DBH01","FFJ01","QNFR3","36","State","New York"
2009,"Physical Activity","Physical Activity","Television watching","Watched 3 or more hours per day of television","on an average school day",36.1,30.46,42.05,"Did not watch 3 or more hours per day of television",63.9,57.95,69.54,271,"Total","White","9th","(39.008830667000495, -75.57774116799965)","PHA01","PAC01","H81","10","State","Delaware"
2009,"Tobacco Use","Cigarette Use","Current cigarette use","Currently smoked cigarettes","on at least 1 day during the 30 days before the survey",13.5,8.1,21.59,"Did not currently smoke cigarettes",86.5,78.41,91.9,150,"Male","Total","10th","(21.304850435000446, -157.85774940299973)","TUS01","CIG01","H33","15","State","Hawaii"
2001,"Sexual Behaviors","Sexual Behaviors","Current sexual activity","Were currently sexually active","had sexual intercourse with at least one person during the 3 months before the survey",47.5,42.48,52.61,"Were not currently sexually active",52.5,47.39,57.52,229,"Female","White","12th","(47.06652897200047, -109.42442064499971)","SBH01","SXB01","H63","30","State","Montana"
2007,"Alcohol and Other Drug Use","Other Drug Use","Current marijuana use","Currently used marijuana","one or more times during the 30 days before the survey",13.5,9.04,19.79,"Did not currently use marijuana",86.5,80.21,90.96,138,"Total","Black or African American","11th","(35.466220975000454, -79.15925046299964)","AOD01","ODU01","H49","37","State","North Carolina"
2015,"Alcohol and Other Drug Use","Other Drug Use","Ever synthetic marijuana use","Ever used synthetic marijuana","also called ""K2"", ""Spice"", ""fake weed"", ""King Kong"", ""Yucatan Fire"", ""Skunk"", or ""Moon Rocks"", one or more times during their life",11.9,10.09,13.98,"Never used synthetic marijuana",88.1,86.02,89.91,2441,"Total","White","12th","(43.65595011300047, -71.50036091999965)","AOD01","ODU01","H55","33","State","New Hampshire"
2005,"Unintentional Injuries and Violence","Suicide-Related Behaviors","Injurious suicide attempt","Attempted suicide that resulted in an injury, poisoning, or overdose that had to be treated by a doctor or nurse","during the 12 months before the survey",5.2,2.56,10.32,"Did not attempt suicide that resulted in an injury, poisoning, or overdose that had to be treated by a doctor or nurse",94.8,89.68,97.44,114,"Total","Black or African American","Total","(44.39319117400049, -89.81637074199966)","UIV01","SRB01","H30","55","State","Wisconsin"
2015,"Tobacco Use","Other Tobacco Use","Current cigar use","Currently smoked cigars","cigars, cigarillos, or little cigars on at least 1 day during the 30 days before the survey",7.3,3.65,13.98,"Did not currently smoke cigars",92.7,86.02,96.35,485,"Total","Total","10th","(37.63864012300047, -120.99999953799971)","TUS01","OTU01","H38","06","State","California"
2011,"Physical Activity","Physical Activity","Daily PE attendance","Did not attend physical education classes on all 5 days","in an average week when they were in school",77.6,66.88,85.61,"Attended physical education classes on all 5 days",22.4,14.39,33.12,147,"Male","Black or African American","10th","(28.932040377000476, -81.92896053899966)","PHA01","PAC01","QNDLYPE","12","State","Florida"
2015,"Dietary Behaviors","Soda or pop","Soda drinking >= 3 times","Drank a can, bottle, or glass of soda or pop three or more times per day","not counting diet soda or diet pop, during the 7 days before the survey",6.7,6.14,7.24,"N/A",93.3,92.76,93.86,13353,"Total","Total","10th","(39.29058096400047, -76.60926011099963)","DBH01","POP01","QNSODA3","24","State","Maryland"
2003,"Sexual Behaviors","Sexual Behaviors","Sex before 13 years","Had sexual intercourse before age 13 years","for the first time",5.2,3.77,7.23,"Did not have sexual intercourse before age 13 years",94.8,92.77,96.23,1392,"Male","White","Total","(42.82700103200045, -75.54397042699964)","SBH01","SXB01","H61","36","State","New York"
2015,"Unintentional Injuries and Violence","Behaviors that Contribute to Violence","Electronic bullying","Were electronically bullied","counting being bullied through e-mail, chat rooms, instant messaging, Web sites, or texting during the 12 months before the survey",12.8,9.93,16.45,"Were not electronically bullied",87.2,83.55,90.07,1851,"Male","Hispanic or Latino","Total","(42.82700103200045, -75.54397042699964)","UIV01","VIO01","H25","36","State","New York"
2001,"Alcohol and Other Drug Use","Other Drug Use","Illegal drugs at school","Were offered, sold, or given an illegal drug on school property","during the 12 months before the survey",26.3,23.14,29.73,"Were not offered, sold, or given an illegal drug on school property",73.7,70.27,76.86,1257,"Female","Total","Total","(47.06652897200047, -109.42442064499971)","AOD01","ODU01","H59","30","State","Montana"
2009,"Dietary Behaviors","Soda or pop","Soda drinking >= 3 times","Drank a can, bottle, or glass of soda or pop three or more times per day","not counting diet soda or diet pop, during the 7 days before the survey",7,5.57,8.87,"N/A",93,91.13,94.43,1360,"Total","Total","Total","(64.84507995700051, -147.72205903599973)","DBH01","POP01","QNSODA3","02","State","Alaska"
2009,"Dietary Behaviors","Breakfast","Daily breakfast eating","Did not eat breakfast on all 7 days","during the 7 days before the survey",74,68.27,79.04,"Ate breakfast on all 7 days",26,20.96,31.73,421,"Total","Total","11th","(37.645970271000465, -84.77497104799966)","DBH01","BRK01","QNBK7DAY","21","State","Kentucky"
2009,"Physical Activity","Physical Activity","Sports team participation","Did not play on at least one sports team","run by their school or community groups during the 12 months before the survey",53.4,46,60.74,"Played on at least one sports team",46.6,39.26,54,186,"Total","White","12th","(39.008830667000495, -75.57774116799965)","PHA01","PAC01","H84","10","State","Delaware"
2003,"Alcohol and Other Drug Use","Other Drug Use","Illegal injected drug use","Ever injected any illegal drug","used a needle to inject any illegal drug into their body one or more times during their life",2.1,1.16,3.63,"Never injected any illegal drug",97.9,96.37,98.84,468,"Total","Total","10th","(43.682630005000476, -114.3637300419997)","AOD01","ODU01","H58","16","State","Idaho"
2009,"Obesity, Overweight, and Weight Control","Weight Control","Weight loss","Were not trying to lose weight",,40.9,32.04,50.33,"Were trying to lose weight",59.1,49.67,67.96,160,"Female","White","12th","(35.68094058000048, -85.77449091399967)","OOW01","WTC01","H70","47","State","Tennessee"
2011,"Alcohol and Other Drug Use","Other Drug Use","Illegal drugs at school","Were offered, sold, or given an illegal drug on school property","during the 12 months before the survey",34,26.67,42.2,"Were not offered, sold, or given an illegal drug on school property",66,57.8,73.33,266,"Male","White","10th","(39.766910452000445, -86.14996019399968)","AOD01","ODU01","H59","18","State","Indiana"
2015,"Dietary Behaviors","Soda or pop","Soda drinking >= 3 times","Drank a can, bottle, or glass of soda or pop three or more times per day","not counting diet soda or diet pop, during the 7 days before the survey",24.9,9.98,49.68,"N/A",75.1,50.32,90.02,111,"Female","Black or African American","10th","(34.74865012400045, -92.27449074299966)","DBH01","POP01","QNSODA3","05","State","Arkansas"
2007,"Unintentional Injuries and Violence","Behaviors that Contribute to Violence","Safety concerns at school","Did not go to school because they felt unsafe at school or on their way to or from school","on at least 1 day during the 30 days before the survey",6,2.52,13.42,"N/A",94,86.58,97.48,106,"Female","Black or African American","Total","(35.47203135600046, -97.52107021399968)","UIV01","VIO01","H16","40","State","Oklahoma"
1999,"Physical Activity","Physical Activity","Television watching","Watched 3 or more hours per day of television","on an average school day",24.5,19.81,29.94,"Did not watch 3 or more hours per day of television",75.5,70.06,80.19,552,"Female","White","Total","(38.635790776000476, -92.56630005299968)","PHA01","PAC01","H81","29","State","Missouri"
1991,"Alcohol and Other Drug Use","Alcohol Use","Ever alcohol use","Ever drank alcohol","at least one drink of alcohol on at least 1 day during their life",74.3,68.78,79.12,"Never drank alcohol",25.7,20.88,31.22,234,"Female","Black or African American","9th","(33.998821303000454, -81.04537120699968)","AOD01","ALC01","H41","45","State","South Carolina"
2009,"Unintentional Injuries and Violence","Behaviors that Contribute to Violence","Weapon carrying at school","Carried a weapon on school property","such as, a gun, knife, or club, on at least 1 day during the 30 days before the survey",5.4,3.9,7.29,"Did not carry a weapon on school property",94.6,92.71,96.1,3691,"Total","Total","9th","(42.82700103200045, -75.54397042699964)","UIV01","VIO01","H15","36","State","New York"
2009,"Alcohol and Other Drug Use","Alcohol Use","5 or more drinks in a row","Drank five or more drinks of alcohol in a row","within a couple of hours on at least 1 day during the 30 days before the survey",37,33.04,41.09,"Did not drink five or more drinks of alcohol in a row",63,58.91,66.96,2889,"Total","Total","12th","(42.82700103200045, -75.54397042699964)","AOD01","ALC01","H44","36","State","New York"
2013,"Sexual Behaviors","Sexual Behaviors","Birth control pill use","Did not use birth control pills","before last sexual intercourse to prevent pregnancy, among students who were currently sexually active",83.3,74.65,89.43,"Used birth control pills",16.7,10.57,25.35,161,"Male","Hispanic or Latino","12th","(39.29058096400047, -76.60926011099963)","SBH01","SXB01","H66","24","State","Maryland"
2007,"Dietary Behaviors","Fruit and fruit juices","Fruit consumption >= 3 times","N/A","during the 7 days before the survey",78.6,69.2,85.69,"Ate fruit or drank 100% fruit juices three or more times per day",21.4,14.31,30.8,101,"Male","Hispanic or Latino","Total","(43.682630005000476, -114.3637300419997)","DBH01","FFJ01","QNFR3","16","State","Idaho"
2007,"Alcohol and Other Drug Use","Alcohol Use","Ever alcohol use","Ever drank alcohol","at least one drink of alcohol on at least 1 day during their life",75.1,70.24,79.45,"Never drank alcohol",24.9,20.55,29.76,401,"Male","Total","11th","(37.645970271000465, -84.77497104799966)","AOD01","ALC01","H41","21","State","Kentucky"
2005,"Tobacco Use","Cigarette Use","Initiation of cigarette use","Smoked a whole cigarette before age 13 years","for the first time",7,2.75,16.67,"Did not smoke a whole cigarette before age 13 years",93,83.33,97.25,122,"Total","Asian","Total","(40.13057004800049, -74.27369128799967)","TUS01","CIG01","H32","34","State","New Jersey"
2007,"Tobacco Use","Other Tobacco Use","Current cigarette, cigar, or smokeless tobacco use","Currently used cigarettes, cigars, or smokeless tobacco","on at least 1 day during the 30 days before the survey",34.1,28.82,39.73,"N/A",65.9,60.27,71.18,691,"Total","White","Total","(31.31266064400046, -92.44568007099969)","TUS01","OTU01","QNTOB3","22","State","Louisiana"
2007,"Tobacco Use","Cigarette Use","Initiation of cigarette use","Smoked a whole cigarette before age 13 years","for the first time",13.6,9.46,19.07,"Did not smoke a whole cigarette before age 13 years",86.4,80.93,90.54,226,"Male","Total","9th","(44.39319117400049, -89.81637074199966)","TUS01","CIG01","H32","55","State","Wisconsin"
2013,"Obesity, Overweight, and Weight Control","Weight Control","Weight loss","Were not trying to lose weight",,67.5,60.42,73.83,"Were trying to lose weight",32.5,26.17,39.58,1056,"Male","Total","11th","(42.82700103200045, -75.54397042699964)","OOW01","WTC01","H70","36","State","New York"
1997,"Sexual Behaviors","Sexual Behaviors","Sex before 13 years","Had sexual intercourse before age 13 years","for the first time",21.2,9.83,39.85,"Did not have sexual intercourse before age 13 years",78.8,60.15,90.17,160,"Male","Black or African American","11th","(44.6613195430005, -84.71439026999968)","SBH01","SXB01","H61","26","State","Michigan"
2013,"Alcohol and Other Drug Use","Other Drug Use","Ever ecstasy use","Ever used ecstasy","also called ""MDMA,"" one or more times during their life",2.2,1.16,4.16,"Never used ecstasy",97.8,95.84,98.84,514,"Total","Total","9th","(39.360700171000474, -111.58713063499971)","AOD01","ODU01","H54","49","State","Utah"
